accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall,learning_rate
0.6807291507720947,0.7703490853309631,0.598086416721344,0.6015376448631287,0.4826464354991913,0.7659208178520203,0.8229166865348816,0.9579721689224243,0.5675612092018127,0.8989683389663696,0.6339285969734192,0.9793103337287903,0.0010000000474974513
0.8359375,0.938514769077301,0.34374281764030457,0.8665482401847839,0.6650124192237854,0.9225473403930664,0.8604166507720947,0.9720637798309326,0.4766055643558502,0.9376461505889893,0.6911764740943909,0.9724137783050537,0.0010000000474974513
0.871874988079071,0.9616798162460327,0.2781423330307007,0.9146022200584412,0.7206851243972778,0.9414802193641663,0.9041666388511658,0.9769325256347656,0.39535459876060486,0.9498023986816406,0.7796609997749329,0.951724112033844,0.0010000000474974513
0.8932291865348816,0.9668433666229248,0.24944348633289337,0.9229334592819214,0.7625698447227478,0.9397590160369873,0.9145833253860474,0.9777868986129761,0.33826732635498047,0.9511095285415649,0.8058823347091675,0.9448275566101074,0.0010000000474974513
0.9036458134651184,0.9640135765075684,0.24934563040733337,0.9143744707107544,0.7877907156944275,0.9328743815422058,0.9291666746139526,0.9797117710113525,0.28667107224464417,0.9553375244140625,0.8404908180236816,0.9448275566101074,0.0010000000474974513
0.9177083373069763,0.9743219017982483,0.21029366552829742,0.9318188428878784,0.8152011632919312,0.9414802193641663,0.9291666746139526,0.9814718961715698,0.2514195144176483,0.9598407745361328,0.8404908180236816,0.9448275566101074,0.0010000000474974513
0.9234374761581421,0.9751099348068237,0.20428600907325745,0.944916844367981,0.8277945518493652,0.9432013630867004,0.9312499761581421,0.9815645813941956,0.22265681624412537,0.9608505964279175,0.8500000238418579,0.9379310607910156,0.0010000000474974513
0.926562488079071,0.9751304388046265,0.2030438929796219,0.9402897357940674,0.8374233245849609,0.9397590160369873,0.9312499761581421,0.9850025773048401,0.20292994379997253,0.9682119488716125,0.8500000238418579,0.9379310607910156,0.0010000000474974513
0.9312499761581421,0.9798761606216431,0.18582653999328613,0.9514930844306946,0.8459168076515198,0.9449225664138794,0.9354166388511658,0.9853113889694214,0.1876600831747055,0.9688858985900879,0.856249988079071,0.9448275566101074,0.0010000000474974513
0.9354166388511658,0.9813737273216248,0.17736077308654785,0.9505813121795654,0.8553654551506042,0.9466437101364136,0.9312499761581421,0.9850231409072876,0.18029294908046722,0.9684795141220093,0.845678985118866,0.9448275566101074,0.0010000000474974513
0.9416666626930237,0.9792283773422241,0.18171697854995728,0.9483581781387329,0.8764045238494873,0.9397590160369873,0.9395833611488342,0.9864025115966797,0.16518886387348175,0.9715209603309631,0.8670886158943176,0.9448275566101074,0.0010000000474974513
0.9317708611488342,0.9807657599449158,0.17535439133644104,0.9531917572021484,0.8504672646522522,0.9397590160369873,0.9395833611488342,0.9865775108337402,0.16046449542045593,0.9726349115371704,0.8717948794364929,0.9379310607910156,0.0010000000474974513
0.9390624761581421,0.9836154580116272,0.16430188715457916,0.9612265825271606,0.862500011920929,0.9500860571861267,0.9395833611488342,0.9869171380996704,0.1585892289876938,0.9731470346450806,0.8670886158943176,0.9448275566101074,0.0010000000474974513
0.9385416507720947,0.9836559295654297,0.1601758748292923,0.9568080902099609,0.8600311279296875,0.9518072009086609,0.9395833611488342,0.9859495759010315,0.1584976464509964,0.9707968831062317,0.8670886158943176,0.9448275566101074,0.0010000000474974513
0.9427083134651184,0.9832980036735535,0.16267476975917816,0.956062912940979,0.8755980730056763,0.9449225664138794,0.9437500238418579,0.9876171350479126,0.15336664021015167,0.9738139510154724,0.8782051205635071,0.9448275566101074,0.0010000000474974513
0.9369791746139526,0.9819861650466919,0.16960614919662476,0.9536682367324829,0.8605015873908997,0.9449225664138794,0.9395833611488342,0.9872773885726929,0.15718425810337067,0.9732655882835388,0.8670886158943176,0.9448275566101074,0.0010000000474974513
0.9385416507720947,0.9870384931564331,0.14741629362106323,0.9668039083480835,0.8545176386833191,0.9604130983352661,0.9437500238418579,0.9877302646636963,0.15492840111255646,0.9744629859924316,0.8734177350997925,0.951724112033844,0.0010000000474974513
0.9395833611488342,0.9834060072898865,0.16263268887996674,0.9587253928184509,0.8684627413749695,0.9432013630867004,0.9416666626930237,0.9876480102539062,0.1526198387145996,0.9745871424674988,0.8726114630699158,0.9448275566101074,0.0010000000474974513
0.9479166865348816,0.9851663112640381,0.1536245048046112,0.9642382860183716,0.8848000168800354,0.9518072009086609,0.9416666626930237,0.9882141351699829,0.14679856598377228,0.975959062576294,0.8726114630699158,0.9448275566101074,0.0010000000474974513
0.9401041865348816,0.9855712652206421,0.15232357382774353,0.9659149646759033,0.8629283308982849,0.9535284042358398,0.9395833611488342,0.9888728857040405,0.1498643308877945,0.9773142337799072,0.862500011920929,0.951724112033844,0.0010000000474974513
0.9411458373069763,0.986306369304657,0.149974524974823,0.9630052447319031,0.875,0.9397590160369873,0.9416666626930237,0.9892536997795105,0.14248761534690857,0.9778119325637817,0.8726114630699158,0.9448275566101074,0.0010000000474974513
0.9437500238418579,0.9854876399040222,0.14873048663139343,0.9587225914001465,0.8771929740905762,0.9466437101364136,0.9437500238418579,0.9899640083312988,0.14335183799266815,0.9794918894767761,0.8734177350997925,0.951724112033844,0.0010000000474974513
0.9510416388511658,0.9876131415367126,0.1403273195028305,0.9699781537055969,0.887122392654419,0.9604130983352661,0.9458333253860474,0.9898713231086731,0.13595448434352875,0.9793905019760132,0.8838709592819214,0.9448275566101074,0.0010000000474974513
0.9447916746139526,0.9862762689590454,0.14746098220348358,0.9657958745956421,0.874015748500824,0.955249547958374,0.9458333253860474,0.9903139472007751,0.13927915692329407,0.9803084135055542,0.8789808750152588,0.951724112033844,0.0010000000474974513
0.9510416388511658,0.9896909594535828,0.12859177589416504,0.9759249687194824,0.8933764100074768,0.9518072009086609,0.949999988079071,0.990211009979248,0.13436995446681976,0.9799472689628601,0.8903225660324097,0.951724112033844,0.0010000000474974513
0.949999988079071,0.989381730556488,0.13043521344661713,0.9790129065513611,0.8930308222770691,0.9483649134635925,0.9479166865348816,0.9903860092163086,0.1341746598482132,0.9804679751396179,0.8896104097366333,0.9448275566101074,0.0010000000474974513
0.948437511920929,0.9885366559028625,0.13587500154972076,0.9735028743743896,0.8912337422370911,0.9449225664138794,0.9395833611488342,0.9904477596282959,0.1412120908498764,0.980719804763794,0.862500011920929,0.951724112033844,0.0010000000474974513
0.9505208134651184,0.9895340800285339,0.12925949692726135,0.9719862937927246,0.8894230723381042,0.955249547958374,0.9437500238418579,0.9907874464988708,0.12896354496479034,0.9813684225082397,0.8734177350997925,0.951724112033844,0.0010000000474974513
0.949999988079071,0.9905046224594116,0.12588387727737427,0.9753108024597168,0.8818897604942322,0.9638554453849792,0.9479166865348816,0.9904168844223022,0.13135452568531036,0.9806035757064819,0.8896104097366333,0.9448275566101074,0.0010000000474974513
0.9546874761581421,0.9875392317771912,0.13558648526668549,0.974587082862854,0.9022801518440247,0.9535284042358398,0.9479166865348816,0.9906947612762451,0.13566239178180695,0.9809155464172363,0.8846153616905212,0.951724112033844,0.0010000000474974513
0.948437511920929,0.9880867600440979,0.13573965430259705,0.9747467041015625,0.8813291192054749,0.9586918950080872,0.9437500238418579,0.9903757572174072,0.13256137073040009,0.9807626605033875,0.8782051205635071,0.9448275566101074,0.0010000000474974513
0.956250011920929,0.9891330599784851,0.12972719967365265,0.9724234342575073,0.9027552604675293,0.9586918950080872,0.949999988079071,0.991158127784729,0.13048148155212402,0.9820787906646729,0.8853503465652466,0.9586206674575806,0.0010000000474974513
0.9489583373069763,0.9879807233810425,0.13889473676681519,0.9730995893478394,0.8965517282485962,0.9397590160369873,0.9416666626930237,0.9912711977958679,0.12995979189872742,0.9822725057601929,0.8679245114326477,0.951724112033844,0.0010000000474974513
0.953125,0.9892944693565369,0.12681151926517487,0.9704541563987732,0.8978930115699768,0.9535284042358398,0.9437500238418579,0.991466760635376,0.1312788724899292,0.982718288898468,0.8687499761581421,0.9586206674575806,0.00020000000949949026
0.9489583373069763,0.9881800413131714,0.13662667572498322,0.9715621471405029,0.8863999843597412,0.9535284042358398,0.9479166865348816,0.9914359450340271,0.12964560091495514,0.9826849699020386,0.8797468543052673,0.9586206674575806,0.00020000000949949026
0.948437511920929,0.9888349175453186,0.1329370141029358,0.9716461896896362,0.8837579488754272,0.955249547958374,0.949999988079071,0.9915903806686401,0.12719909846782684,0.9830740094184875,0.8903225660324097,0.951724112033844,0.00020000000949949026
0.9546874761581421,0.9901955127716064,0.12496978789567947,0.9737313985824585,0.89838707447052,0.9586918950080872,0.9458333253860474,0.9914359450340271,0.13004037737846375,0.9827888607978821,0.8789808750152588,0.951724112033844,0.00020000000949949026
0.953125,0.9874350428581238,0.13475435972213745,0.9739973545074463,0.8940609693527222,0.9586918950080872,0.9479166865348816,0.9915285706520081,0.12773683667182922,0.9829227328300476,0.8846153616905212,0.951724112033844,0.00020000000949949026
0.9510416388511658,0.98798006772995,0.13676264882087708,0.9712331891059875,0.8883572816848755,0.9586918950080872,0.949999988079071,0.9915800094604492,0.13066421449184418,0.9829857349395752,0.8853503465652466,0.9586206674575806,0.00020000000949949026
0.9588541388511658,0.991110622882843,0.11736342310905457,0.9768248796463013,0.9035369753837585,0.9672977328300476,0.9479166865348816,0.9915800094604492,0.1290305107831955,0.9830330610275269,0.8797468543052673,0.9586206674575806,0.00020000000949949026
0.9515625238418579,0.9895875453948975,0.12624548375606537,0.9784600734710693,0.8948220014572144,0.9518072009086609,0.9458333253860474,0.9914462566375732,0.12940290570259094,0.9827927350997925,0.8789808750152588,0.951724112033844,0.00020000000949949026
0.956250011920929,0.9888541102409363,0.12824471294879913,0.9752828478813171,0.9027552604675293,0.9586918950080872,0.9458333253860474,0.991425633430481,0.12947556376457214,0.9827579259872437,0.8789808750152588,0.951724112033844,4.0000002627493814e-05
0.9546874761581421,0.9864068031311035,0.1398146003484726,0.966352105140686,0.8958333134651184,0.9621342420578003,0.9437500238418579,0.991374135017395,0.12998229265213013,0.9826423525810242,0.8734177350997925,0.951724112033844,4.0000002627493814e-05
0.9536458253860474,0.9891614317893982,0.12899185717105865,0.9742209911346436,0.896774172782898,0.956970751285553,0.9437500238418579,0.9913845062255859,0.1295606940984726,0.9826681613922119,0.8734177350997925,0.951724112033844,4.0000002627493814e-05
0.9520833492279053,0.9888156056404114,0.1321123093366623,0.9746829271316528,0.8912000060081482,0.9586918950080872,0.9416666626930237,0.9913741946220398,0.1300310343503952,0.9826554656028748,0.8679245114326477,0.951724112033844,4.0000002627493814e-05
0.9614583253860474,0.9907000064849854,0.11755947768688202,0.9788464307785034,0.914893627166748,0.9621342420578003,0.9437500238418579,0.9914565086364746,0.12952718138694763,0.9827912449836731,0.8734177350997925,0.951724112033844,4.0000002627493814e-05
