threshold,accuracy,precision,recall,f1
0.05,0.8283333333333334,0.6433823529411765,0.9668508287292817,0.7726269315673289
0.075,0.8466666666666667,0.6704980842911877,0.9668508287292817,0.7918552036199095
0.1,0.8616666666666667,0.6944444444444444,0.9668508287292817,0.8083140877598153
0.125,0.8716666666666667,0.7113821138211383,0.9668508287292817,0.819672131147541
0.15,0.8816666666666667,0.7310924369747899,0.9613259668508287,0.8305489260143198
0.175,0.8983333333333333,0.7654867256637168,0.9558011049723757,0.8501228501228502
0.2,0.905,0.7792792792792793,0.9558011049723757,0.858560794044665
0.22499999999999998,0.9083333333333333,0.7863636363636364,0.9558011049723757,0.8628428927680798
0.25,0.915,0.8009259259259259,0.9558011049723757,0.871536523929471
0.27499999999999997,0.9183333333333333,0.8084112149532711,0.9558011049723757,0.8759493670886076
0.3,0.92,0.812206572769953,0.9558011049723757,0.8781725888324873
0.32499999999999996,0.9233333333333333,0.8199052132701422,0.9558011049723757,0.8826530612244898
0.35,0.9233333333333333,0.8199052132701422,0.9558011049723757,0.8826530612244898
0.37499999999999994,0.9216666666666666,0.819047619047619,0.9502762430939227,0.8797953964194374
0.39999999999999997,0.9216666666666666,0.8221153846153846,0.9447513812154696,0.8791773778920309
0.42499999999999993,0.9216666666666666,0.8221153846153846,0.9447513812154696,0.8791773778920309
0.44999999999999996,0.9283333333333333,0.8382352941176471,0.9447513812154696,0.8883116883116883
0.475,0.9316666666666666,0.8465346534653465,0.9447513812154696,0.8929503916449086
0.49999999999999994,0.9316666666666666,0.8535353535353535,0.9337016574585635,0.8918205804749341
0.525,0.9333333333333333,0.8578680203045685,0.9337016574585635,0.8941798941798942
0.5499999999999999,0.9383333333333334,0.8711340206185567,0.9337016574585635,0.9013333333333333
0.575,0.9366666666666666,0.8743455497382199,0.9226519337016574,0.8978494623655914
0.6,0.94,0.8835978835978836,0.9226519337016574,0.9027027027027027
0.625,0.94,0.8877005347593583,0.9171270718232044,0.9021739130434783
0.65,0.94,0.8877005347593583,0.9171270718232044,0.9021739130434783
0.675,0.9433333333333334,0.9016393442622951,0.9116022099447514,0.9065934065934066
0.7,0.9416666666666667,0.9010989010989011,0.9060773480662984,0.9035812672176309
0.725,0.9466666666666667,0.9209039548022598,0.9005524861878453,0.9106145251396648
0.75,0.945,0.9204545454545454,0.8950276243093923,0.907563025210084
0.775,0.9466666666666667,0.9257142857142857,0.8950276243093923,0.9101123595505618
0.7999999999999999,0.945,0.9302325581395349,0.8839779005524862,0.9065155807365439
0.825,0.9483333333333334,0.9411764705882353,0.8839779005524862,0.9116809116809117
0.85,0.95,0.9467455621301775,0.8839779005524862,0.9142857142857143
0.875,0.945,0.9567901234567902,0.856353591160221,0.9037900874635568
0.9,0.9466666666666667,0.9806451612903225,0.8397790055248618,0.9047619047619048
0.9249999999999999,0.94,0.9865771812080537,0.8121546961325967,0.8909090909090909
0.95,0.9333333333333333,0.993006993006993,0.7845303867403315,0.8765432098765432
